MeSH term	Name	MeSH first level term	MeSH second level term	Nominal P value	False discovery rate	Tissue-specific expression Z score gene 1	Tissue-specific expression Z score gene 2	Tissue-specific expression Z score gene 3	Tissue-specific expression Z score gene 4	Tissue-specific expression Z score gene 5	Tissue-specific expression Z score gene 6	Tissue-specific expression Z score gene 7	Tissue-specific expression Z score gene 8	Tissue-specific expression Z score gene 9	Tissue-specific expression Z score gene 10
A10.615.550.599	Mouth Mucosa	Tissues	Membranes	0.28	> 0.20	ANKRD31 (2.5)	TMEM57 (2.0)	CBLC (1.9)	MAFB (1.6)	HMGCR (1.6)	NYNRIN (1.6)	SLC44A2 (1.4)	SORT1 (1.4)	CEACAM19 (1.4)	CELSR2 (1.3)
A10.549.400	Lymph Nodes	Tissues	Lymphoid Tissue	0.29	> 0.20	TIMD4 (5.7)	CETP (4.6)	C1orf63 (2.0)	APOC1 (1.8)	APOE (1.5)	ENSG00000228044 (1.5)	ZNF101 (1.5)	RELB (1.4)	USP1 (1.3)	GMIP (1.3)
A14.549.167.646	Periodontium	Stomatognathic System	Mouth	0.29	> 0.20	ANKRD31 (3.0)	CEACAM19 (2.5)	MAFB (2.1)	CBLC (2.0)	NKPD1 (2.0)	SLC44A2 (1.7)	CELSR2 (1.7)	HMGCR (1.6)	PCSK9 (1.6)	NPC1L1 (1.5)
A05.360.319.887	Vulva	Urogenital System	Genitalia	0.29	> 0.20	NKPD1 (2.1)	MAFB (1.9)	CELSR2 (1.8)	CBLC (1.7)	PLEC (1.5)	CEACAM19 (1.2)	HMGCR (1.2)	OASL (1.1)	PMFBP1 (1.0)	DDX56 (1.0)
A05.360.319.114.630	Ovary	Urogenital System	Genitalia	0.31	> 0.20	BCAM (2.6)	CILP2 (1.3)	NYNRIN (1.2)	DYNC2LI1 (1.2)	USP1 (1.2)	TMED4 (1.1)	SMARCA4 (1.1)	AP1M2 (1.1)	ADAM1 (1.1)	CELSR2 (1.0)
A05.360.319.114	Adnexa Uteri	Urogenital System	Genitalia	0.31	> 0.20	BCAM (2.6)	CILP2 (1.3)	NYNRIN (1.2)	DYNC2LI1 (1.2)	USP1 (1.2)	SMARCA4 (1.1)	TMED4 (1.1)	AP1M2 (1.1)	ADAM1 (1.1)	CELSR2 (1.0)
A05.360.319.679	Uterus	Urogenital System	Genitalia	0.32	> 0.20	PLEKHH2 (1.7)	KIAA1324 (1.5)	KANK2 (1.3)	MYLIP (1.3)	DYNC2LI1 (1.2)	C1orf63 (1.1)	SMARCA4 (1.0)	PLCG1 (1.0)	AP1M2 (0.8)	FRK (0.7)
A05.810	Urinary Tract	Urogenital System	Urinary Tract	0.32	> 0.20	HAVCR1 (5.1)	ANGPTL3 (3.5)	PLG (3.0)	DYNC2LI1 (1.8)	FRK (1.7)	TMED4 (1.6)	HNF1A (1.4)	PLEKHH2 (1.3)	ENSG00000226648 (1.3)	TIMD4 (1.2)
A11.872.190.260	Embryoid Bodies	Cells	Stem Cells	0.34	> 0.20	C11orf9 (2.6)	YIPF2 (2.5)	MARK4 (2.4)	PVR (2.4)	PVRL2 (2.3)	GEMIN7 (1.8)	GOT2P1 (1.7)	NYNRIN (1.7)	PLEC (1.7)	ITGB3 (1.6)
A06.407	Endocrine Glands	Endocrine System	Endocrine Glands	0.36	> 0.20	BCAM (2.0)	TMED4 (1.3)	DYNC2LI1 (1.2)	NYNRIN (1.0)	CILP2 (0.9)	APOC1 (0.8)	AP1M2 (0.8)	ADAM1 (0.8)	SMARCA4 (0.8)	C1orf63 (0.8)
A11.436.329	Granulosa Cells	Cells	Epithelial Cells	0.36	> 0.20	ST3GAL4 (5.1)	HMGCR (2.9)	NAA25 (2.7)	TOP1 (2.4)	DHODH (2.0)	APOC1 (2.0)	C12orf43 (1.8)	NT5DC1 (1.7)	ZNF180 (1.7)	ANKRD31 (1.6)
A05.360.319.114.630.535	Ovarian Follicle	Urogenital System	Genitalia	0.36	> 0.20	ST3GAL4 (5.1)	HMGCR (2.9)	NAA25 (2.7)	TOP1 (2.4)	DHODH (2.0)	APOC1 (2.0)	C12orf43 (1.8)	NT5DC1 (1.7)	ZNF180 (1.7)	ANKRD31 (1.6)
A06.407.312.497.535.300.500	Cumulus Cells	Endocrine System	Endocrine Glands	0.36	> 0.20	ST3GAL4 (5.1)	HMGCR (2.9)	NAA25 (2.7)	TOP1 (2.4)	DHODH (2.0)	APOC1 (2.0)	C12orf43 (1.8)	NT5DC1 (1.7)	ZNF180 (1.7)	ANKRD31 (1.6)
A05.810.453	Kidney	Urogenital System	Urinary Tract	0.36	> 0.20	HAVCR1 (5.5)	ANGPTL3 (3.9)	PLG (3.3)	DYNC2LI1 (2.0)	FRK (1.8)	TMED4 (1.7)	HNF1A (1.5)	PLEKHH2 (1.4)	ENSG00000226648 (1.4)	TIMD4 (1.3)
A05.810.453.324	Kidney Cortex	Urogenital System	Urinary Tract	0.36	> 0.20	HAVCR1 (8.6)	PLG (2.4)	BCAM (2.2)	ZHX3 (2.0)	FRK (1.8)	NT5DC1 (1.5)	ANGPTL3 (1.5)	AP1M2 (1.4)	TMED4 (1.4)	APOC4 (1.4)
A11.329.114	Adipocytes	Cells	Connective Tissue Cells	0.37	> 0.20	GPAM (4.4)	MOSC1 (3.1)	FADS1 (2.5)	HP (2.2)	COL4A3BP (1.7)	SORT1 (1.5)	KANK2 (1.5)	ENSG00000238078 (1.4)	ALDH2 (1.4)	CETP (1.4)
A10.272	Epithelium	Tissues	Epithelium	0.37	> 0.20	DNAH11 (2.7)	TMEM116 (2.0)	NYNRIN (1.8)	KIAA1324 (1.6)	AP1M2 (1.5)	PVRL2 (1.4)	PLEC (1.3)	CBLC (1.2)	FRK (1.2)	DYNC2LI1 (1.2)
A04.411	Lung	Respiratory System	Lung	0.37	> 0.20	PLEKHH2 (1.6)	HAVCR1 (1.2)	APOC1 (0.8)	ZNF180 (0.7)	USP1 (0.7)	PVRL2 (0.7)	DYNC2LI1 (0.7)	POLK (0.7)	FRK (0.7)	DOCK7 (0.7)
A11.872.378.294	Lymphoid Progenitor Cells	Cells	Stem Cells	0.37	> 0.20	USP24 (4.0)	MAU2 (3.2)	BRAP (3.1)	ZNF101 (3.0)	ILF3 (2.7)	NAA25 (2.6)	C12orf51 (2.4)	MYLIP (2.2)	MAPKAPK5 (2.1)	C1orf63 (2.1)
A11.118.637.555.567.562.440	Precursor Cells  B Lymphoid	Cells	Blood Cells	0.37	> 0.20	USP24 (4.0)	MAU2 (3.2)	BRAP (3.1)	ZNF101 (3.0)	ILF3 (2.7)	NAA25 (2.6)	C12orf51 (2.4)	MYLIP (2.2)	MAPKAPK5 (2.1)	C1orf63 (2.1)
A11.382	Endocrine Cells	Cells	Endocrine Cells	0.38	> 0.20	ST3GAL4 (3.1)	HMGCR (2.0)	NAA25 (1.8)	TOP1 (1.6)	ZNF180 (1.6)	NT5DC1 (1.5)	LDLR (1.5)	C12orf43 (1.4)	DOCK7 (1.3)	DHODH (1.2)
A15.382.520.604.800	Palatine Tonsil	Hemic and Immune Systems	Immune System	0.39	> 0.20	GCNT4 (3.6)	GMIP (2.2)	BUD13 (2.2)	SUGP1 (2.0)	ZNF101 (1.9)	TRAFD1 (1.8)	USP24 (1.8)	ANKRD31 (1.8)	ENSG00000254235 (1.7)	SLC44A2 (1.6)
A04.623.603	Oropharynx	Respiratory System	Pharynx	0.39	> 0.20	GCNT4 (3.6)	GMIP (2.2)	BUD13 (2.2)	SUGP1 (2.0)	ZNF101 (1.9)	TRAFD1 (1.8)	USP24 (1.8)	ANKRD31 (1.8)	ENSG00000254235 (1.7)	SLC44A2 (1.6)
A11.872.653	Neural Stem Cells	Cells	Stem Cells	0.39	> 0.20	NCAN (3.9)	ATXN7L2 (3.4)	FADS2 (3.3)	SMARCA4 (2.9)	DOCK7 (2.6)	PSRC1 (2.3)	ILF3 (2.3)	CLPTM1 (2.2)	GRINA (2.1)	HMGCR (2.0)
A15.145.229.637.555.567.569.200	CD4 Positive T Lymphocytes	Hemic and Immune Systems	Blood	0.40	> 0.20	PBX4 (5.8)	ZNF101 (4.9)	ENSG00000226648 (4.3)	ENSG00000238078 (3.3)	MAU2 (3.3)	POC5 (3.0)	USP24 (2.6)	ADAM1 (2.3)	SUGP1 (2.3)	PLCG1 (2.1)
A05.360.319.679.256	Cervix Uteri	Urogenital System	Genitalia	0.40	> 0.20	USP1 (1.6)	FRK (1.4)	MAFB (1.2)	CBLC (1.1)	APOC1 (0.9)	PCSK9 (0.9)	BCL3 (0.8)	PLEC (0.8)	C1orf63 (0.8)	APOE (0.8)
A03.556.500.760.464	Parotid Gland	Digestive System	Gastrointestinal Tract	0.40	> 0.20	TSSK6 (3.7)	KIAA1324 (2.5)	NPC1L1 (2.5)	YIPF2 (2.3)	PARP10 (2.1)	LPIN3 (2.0)	ABO (1.9)	APOC4 (1.8)	TMEM57 (1.7)	ACAD10 (1.6)
A06.407.312	Gonads	Endocrine System	Endocrine Glands	0.42	> 0.20	BCAM (2.4)	NYNRIN (1.3)	DYNC2LI1 (1.2)	CILP2 (1.2)	TMED4 (1.1)	USP1 (1.1)	ADAM1 (1.1)	SMARCA4 (1.0)	AP1M2 (1.0)	CELSR2 (1.0)
A03.556.500.760	Salivary Glands	Digestive System	Gastrointestinal Tract	0.43	> 0.20	TSSK6 (3.5)	KIAA1324 (2.7)	NPC1L1 (2.5)	YIPF2 (2.4)	PARP10 (2.0)	LPIN3 (2.0)	APOC4 (1.9)	ABO (1.8)	MOSC1 (1.7)	TMEM57 (1.6)
A15.145.846	Serum	Hemic and Immune Systems	Blood	0.43	> 0.20	FADS2 (2.4)	PVR (2.4)	PVRL2 (2.0)	GATAD2A (2.0)	LDLR (1.8)	GOT2P1 (1.7)	PPP1R37 (1.7)	SARS (1.7)	SH2B3 (1.6)	ITGB3 (1.6)
A09.371.060	Anterior Eye Segment	Sense Organs	Eye	0.44	> 0.20	FRK (3.1)	LPA (2.7)	TMEM116 (2.3)	C19orf52 (2.2)	SLC44A2 (2.1)	TRAFD1 (2.0)	ST3GAL4 (2.0)	AP1M2 (1.9)	ZNF180 (1.9)	NYNRIN (1.8)
A11.436.294.064	Glucagon Secreting Cells	Cells	Epithelial Cells	0.44	> 0.20	FEN1 (2.1)	PCSK9 (1.8)	PLEC (1.8)	PTPN11 (1.6)	FRK (1.6)	OGDH (1.5)	ZNF180 (1.4)	LDLR (1.4)	USP1 (1.3)	PVRL2 (1.2)
A11.382.625	Enteroendocrine Cells	Cells	Endocrine Cells	0.44	> 0.20	FEN1 (2.1)	PCSK9 (1.8)	PLEC (1.8)	PTPN11 (1.6)	FRK (1.6)	OGDH (1.5)	ZNF180 (1.4)	LDLR (1.4)	USP1 (1.3)	PVRL2 (1.2)
A09.371.337	Eyelids	Sense Organs	Eye	0.45	> 0.20	FRK (3.2)	LPA (2.8)	TMEM116 (2.4)	C19orf52 (2.2)	SLC44A2 (2.1)	TRAFD1 (2.1)	ST3GAL4 (2.0)	AP1M2 (2.0)	ZNF180 (1.9)	NYNRIN (1.8)
A09.371.337.168	Conjunctiva	Sense Organs	Eye	0.45	> 0.20	FRK (3.2)	LPA (2.8)	TMEM116 (2.4)	C19orf52 (2.2)	SLC44A2 (2.1)	TRAFD1 (2.1)	ST3GAL4 (2.0)	AP1M2 (2.0)	ZNF180 (1.9)	NYNRIN (1.8)
A02.835.232.043	Bones of Lower Extremity	Musculoskeletal System	Skeleton	0.46	> 0.20	FRK (2.9)	LPA (2.6)	TMEM116 (2.1)	C19orf52 (2.0)	SLC44A2 (1.9)	TRAFD1 (1.8)	ST3GAL4 (1.8)	ZNF180 (1.7)	AP1M2 (1.7)	MYLIP (1.7)
A02.835.232.043.300	Foot Bones	Musculoskeletal System	Skeleton	0.46	> 0.20	FRK (3.0)	LPA (2.6)	TMEM116 (2.2)	C19orf52 (2.1)	SLC44A2 (2.0)	TRAFD1 (1.9)	ST3GAL4 (1.8)	ZNF180 (1.8)	AP1M2 (1.8)	MYLIP (1.7)
A02.835.232.043.300.710	Tarsal Bones	Musculoskeletal System	Skeleton	0.46	> 0.20	FRK (3.0)	LPA (2.6)	TMEM116 (2.2)	C19orf52 (2.1)	SLC44A2 (2.0)	TRAFD1 (1.9)	ST3GAL4 (1.8)	ZNF180 (1.8)	AP1M2 (1.8)	MYLIP (1.7)
A11.118.637.555.567.569	T Lymphocytes	Cells	Blood Cells	0.47	> 0.20	PBX4 (4.0)	ZNF101 (3.1)	POC5 (2.3)	MAU2 (2.0)	BUD13 (1.9)	PLCG1 (1.8)	USP24 (1.8)	DDX56 (1.8)	ENSG00000226648 (1.6)	USP1 (1.6)
A14.549	Mouth	Stomatognathic System	Mouth	0.47	> 0.20	ANKRD31 (2.0)	CBLC (1.4)	MAFB (1.3)	CEACAM19 (1.2)	AP1M2 (1.0)	HMGCR (1.0)	CELSR2 (0.9)	TMEM57 (0.9)	SORT1 (0.9)	ALDH2 (0.8)
A02.835.583	Joints	Musculoskeletal System	Skeleton	0.48	> 0.20	CYP7A1 (4.1)	LDLR (1.8)	MAFB (1.6)	KANK2 (1.6)	RELB (1.4)	ACAD10 (1.3)	ATXN7L2 (1.3)	DOCK7 (1.2)	TMEM50A (1.2)	NYNRIN (1.1)
A02.835.583.443	Joint Capsule	Musculoskeletal System	Skeleton	0.48	> 0.20	CYP7A1 (4.1)	LDLR (1.8)	MAFB (1.6)	KANK2 (1.6)	RELB (1.4)	ACAD10 (1.3)	ATXN7L2 (1.3)	DOCK7 (1.2)	TMEM50A (1.2)	NYNRIN (1.1)
A02.835.583.443.800	Synovial Membrane	Musculoskeletal System	Skeleton	0.48	> 0.20	CYP7A1 (4.1)	LDLR (1.8)	MAFB (1.6)	KANK2 (1.6)	RELB (1.4)	ACAD10 (1.3)	ATXN7L2 (1.3)	DOCK7 (1.2)	TMEM50A (1.2)	NYNRIN (1.1)
A11.118.637.555.567.569.200.700	T Lymphocytes  Regulatory	Cells	Blood Cells	0.49	> 0.20	PBX4 (5.5)	ZNF101 (5.1)	ENSG00000226648 (4.9)	POC5 (2.9)	MAU2 (2.9)	USP24 (2.7)	BRAP (2.1)	ADAM1 (2.1)	PLCG1 (2.0)	LPAR2 (2.0)
A11.620.520	Myocytes  Smooth Muscle	Cells	Muscle Cells	0.50	> 0.20	PVR (3.5)	YIPF2 (2.3)	ITGB3 (2.2)	CLPTM1 (1.9)	PTPN11 (1.9)	TM6SF2 (1.8)	CEACAM19 (1.7)	DNAH11 (1.7)	SH2B3 (1.6)	GOT2P1 (1.6)
A11.620	Muscle Cells	Cells	Muscle Cells	0.50	> 0.20	PVR (3.5)	YIPF2 (2.3)	ITGB3 (2.2)	CLPTM1 (1.9)	PTPN11 (1.9)	TM6SF2 (1.8)	CEACAM19 (1.7)	DNAH11 (1.7)	SH2B3 (1.6)	GOT2P1 (1.6)
A15.382.490.555.567.537	Killer Cells  Natural	Hemic and Immune Systems	Immune System	0.53	> 0.20	OASL (2.7)	POC5 (2.3)	ZNF101 (2.1)	MAU2 (1.9)	USP1 (1.8)	USP24 (1.8)	POLK (1.8)	PBX4 (1.7)	C1orf63 (1.5)	DNM2 (1.5)
A03.734	Pancreas	Digestive System	Pancreas	0.53	> 0.20	POLK (1.4)	KIAA1324 (1.2)	PLEC (0.8)	C1orf63 (0.7)	DYNC2LI1 (0.6)	NPC1L1 (0.6)	PVRL2 (0.6)	TRIB1 (0.6)	MAFB (0.6)	FRK (0.6)
A03.556.875.500	Esophagus	Digestive System	Gastrointestinal Tract	0.55	> 0.20	PLEC (1.7)	OGDH (1.3)	CBLC (1.2)	AP1M2 (1.2)	LDLR (1.0)	MAFB (1.0)	PMFBP1 (1.0)	KANK2 (0.9)	BCL3 (0.9)	PLEKHH2 (0.9)
A11.627.340.360	Granulocyte Precursor Cells	Cells	Myeloid Cells	0.55	> 0.20	HP (2.7)	USP1 (2.5)	ENSG00000238078 (2.4)	HLX (2.4)	BUD13 (2.1)	UBXN2B (2.1)	ZNF180 (2.0)	FEN1 (2.0)	DHODH (2.0)	TRAPPC6A (1.9)
A11.329.372.600	Macrophages  Alveolar	Cells	Connective Tissue Cells	0.56	> 0.20	APOC1 (3.9)	COL4A3BP (3.3)	OASL (2.7)	ENSG00000228044 (2.6)	SORT1 (2.5)	UBXN2B (2.4)	SH2B3 (2.3)	ENSG00000238078 (2.1)	ALDH2 (2.1)	DOCK7 (1.9)
A11.329	Connective Tissue Cells	Cells	Connective Tissue Cells	0.59	> 0.20	SH2B3 (1.0)	HLX (1.0)	DOCK7 (0.9)	TMEM50A (0.9)	BLOC1S3 (0.9)	POLK (0.8)	PMFBP1 (0.8)	PPP1R37 (0.8)	SORT1 (0.8)	COL4A3BP (0.7)
A10.690.467	Muscle  Smooth	Tissues	Muscles	0.62	> 0.20	PVR (2.5)	ITGB3 (1.7)	KANK2 (1.7)	YIPF2 (1.6)	PLEKHH2 (1.5)	PTPN11 (1.4)	ZHX3 (1.3)	C12orf47 (1.2)	CLPTM1 (1.2)	SH2B3 (1.2)
A05.360	Genitalia	Urogenital System	Genitalia	0.63	> 0.20	BCAM (1.7)	DYNC2LI1 (1.1)	TMED4 (1.0)	KIAA1324 (1.0)	PLEKHH2 (0.9)	FRK (0.9)	NYNRIN (0.9)	KANK2 (0.8)	C1orf63 (0.8)	AP1M2 (0.8)
A11.497.497.600	Oocytes	Cells	Germ Cells	0.64	> 0.20	ST3GAL4 (2.4)	DYNC2LI1 (2.1)	HMGCR (1.8)	ZNF180 (1.7)	KIAA1324 (1.7)	NKPD1 (1.6)	BLOC1S3 (1.5)	PLEKHH2 (1.5)	TRAPPC6A (1.5)	C12orf43 (1.5)
A05.360.490.690	Ovum	Urogenital System	Genitalia	0.64	> 0.20	ST3GAL4 (2.4)	DYNC2LI1 (2.1)	HMGCR (1.8)	ZNF180 (1.7)	KIAA1324 (1.7)	NKPD1 (1.6)	BLOC1S3 (1.5)	PLEKHH2 (1.5)	TRAPPC6A (1.5)	C12orf43 (1.5)
A14.549.167	Dentition	Stomatognathic System	Mouth	0.64	> 0.20	ANKRD31 (2.2)	CEACAM19 (1.5)	SARS (1.5)	ZHX3 (1.3)	SLC44A2 (1.3)	GCNT4 (1.2)	GOT2P1 (1.0)	PLEC (1.0)	HMGCR (1.0)	ZNF259 (1.0)
A08.713	Neurosecretory Systems	Nervous System	Neurosecretory Systems	0.64	> 0.20	TMED4 (3.9)	YIPF2 (3.6)	KIAA1324 (3.6)	PPP1R37 (3.2)	ERP29 (2.5)	CYB561D1 (2.3)	FADS2 (2.1)	ENSG00000228044 (2.0)	DDX56 (1.8)	QTRT1 (1.8)
A08.186.211.730.317.357.352.435	Hypothalamo Hypophyseal System	Nervous System	Central Nervous System	0.64	> 0.20	TMED4 (3.9)	YIPF2 (3.6)	KIAA1324 (3.6)	PPP1R37 (3.2)	ERP29 (2.5)	CYB561D1 (2.3)	FADS2 (2.1)	ENSG00000228044 (2.0)	DDX56 (1.8)	QTRT1 (1.8)
A08.186.211.730.317.357.352	Hypothalamus  Middle	Nervous System	Central Nervous System	0.64	> 0.20	TMED4 (3.9)	YIPF2 (3.6)	KIAA1324 (3.6)	PPP1R37 (3.2)	ERP29 (2.5)	CYB561D1 (2.3)	FADS2 (2.1)	ENSG00000228044 (2.0)	DDX56 (1.8)	QTRT1 (1.8)
A03.734.414	Islets of Langerhans	Digestive System	Pancreas	0.66	> 0.20	FEN1 (1.6)	PTPN11 (1.5)	PLEC (1.3)	PCSK9 (1.3)	FRK (1.2)	LDLR (1.2)	ZNF180 (1.2)	PVRL2 (1.2)	C12orf47 (1.1)	DOCK7 (1.1)
A11.872.700.500	Induced Pluripotent Stem Cells	Cells	Stem Cells	0.68	> 0.20	PCSK9 (4.0)	ILF3 (2.6)	FEN1 (2.6)	CARM1 (2.4)	SMARCA4 (2.2)	PVRL2 (2.1)	MAPKAPK5 (2.1)	ATXN7L2 (2.0)	ZNF180 (2.0)	GEMIN7 (2.0)
A11.872.700	Pluripotent Stem Cells	Cells	Stem Cells	0.68	> 0.20	PCSK9 (4.0)	ILF3 (2.6)	FEN1 (2.6)	CARM1 (2.4)	SMARCA4 (2.2)	PVRL2 (2.1)	MAPKAPK5 (2.1)	ATXN7L2 (2.0)	ZNF180 (2.0)	GEMIN7 (2.0)
A07.541.560	Heart Ventricles	Cardiovascular System	Heart	0.68	> 0.20	GOT2P1 (4.5)	SYPL2 (3.1)	OGDH (3.1)	BCAM (3.1)	HP (2.8)	TMEM116 (2.5)	PTPN11 (2.3)	SORT1 (2.2)	KANK2 (1.9)	GMPR (1.8)
A08.186.211.730.317.357	Hypothalamus	Nervous System	Central Nervous System	0.70	> 0.20	TMED4 (3.3)	KIAA1324 (3.0)	YIPF2 (2.9)	PPP1R37 (2.5)	ENSG00000228044 (2.4)	FADS2 (2.2)	CYB561D1 (2.2)	ERP29 (2.1)	QTRT1 (2.0)	CLPTM1 (1.9)
A07.541	Heart	Cardiovascular System	Heart	0.74	> 0.20	GOT2P1 (3.9)	SYPL2 (2.8)	HP (2.7)	BCAM (2.6)	OGDH (2.4)	TMEM116 (2.2)	KANK2 (2.0)	PTPN11 (2.0)	SORT1 (1.9)	GMPR (1.7)
A17.815	Skin	Integumentary System	Skin	0.75	> 0.20	CBLC (1.8)	MAFB (1.6)	NKPD1 (1.6)	CELSR2 (1.4)	PLEC (1.2)	HMGCR (1.1)	PLEKHH2 (0.9)	ALDH2 (0.9)	NYNRIN (0.9)	TRAPPC6A (0.9)
A15.382.490.555.567.622	Lymphocytes  Null	Hemic and Immune Systems	Immune System	0.76	> 0.20	FEN1 (3.0)	POC5 (2.9)	USP1 (2.4)	OASL (2.3)	BUD13 (2.2)	DHX38 (2.2)	DHODH (2.2)	GEMIN7 (1.9)	DDX56 (1.9)	TOMM40 (1.7)
A11.872.040	Adult Stem Cells	Cells	Stem Cells	0.76	> 0.20	PCSK9 (2.7)	FEN1 (2.4)	ILF3 (2.1)	CARM1 (1.9)	PVRL2 (1.8)	MAPKAPK5 (1.8)	C12orf43 (1.7)	PSRC1 (1.7)	GEMIN7 (1.7)	GATAD2A (1.7)
A06.407.900	Thyroid Gland	Endocrine System	Endocrine Glands	0.76	> 0.20	C17orf57 (2.9)	TMED4 (2.5)	ENSG00000226648 (2.2)	TRIB1 (2.0)	BCAM (1.6)	PBX4 (1.3)	C1orf63 (1.2)	DYNC2LI1 (1.2)	CELSR2 (1.1)	MYLIP (1.1)
A08.186.211.730.317	Diencephalon	Nervous System	Central Nervous System	0.77	> 0.20	ENSG00000228044 (2.5)	TMED4 (2.4)	QTRT1 (2.2)	FADS2 (2.0)	CLPTM1 (2.0)	GCNT4 (2.0)	YIPF2 (1.9)	KIAA1324 (1.9)	MARK4 (1.8)	CYB561D1 (1.8)
A11.872.190	Embryonic Stem Cells	Cells	Stem Cells	0.77	> 0.20	SMARCA4 (2.1)	ILF3 (2.0)	FEN1 (1.9)	PSRC1 (1.8)	ZNF180 (1.7)	HMGCR (1.7)	MAPKAPK5 (1.6)	PCSK9 (1.6)	BUD13 (1.5)	PVRL2 (1.4)
A11.329.171	Chondrocytes	Cells	Connective Tissue Cells	0.79	> 0.20	CILP2 (6.0)	PLEKHH2 (2.4)	YIPF2 (2.2)	ZHX3 (2.1)	PLEC (1.8)	ENSG00000238078 (1.5)	SARS (1.5)	C12orf47 (1.4)	POLK (1.3)	PVR (1.2)
A07.541.358	Heart Atria	Cardiovascular System	Heart	0.79	> 0.20	LPIN3 (3.0)	HP (2.8)	KANK2 (2.7)	DHODH (2.4)	GMPR (2.4)	SYPL2 (2.3)	NT5DC1 (2.2)	TMED4 (2.0)	ALDH2 (1.9)	GCNT4 (1.9)
A05.360.490	Germ Cells	Urogenital System	Genitalia	0.80	> 0.20	ST3GAL4 (2.1)	DYNC2LI1 (1.9)	HMGCR (1.6)	KIAA1324 (1.5)	NKPD1 (1.5)	ZNF180 (1.4)	PLEKHH2 (1.3)	BLOC1S3 (1.3)	TRAPPC6A (1.3)	C12orf43 (1.2)
A11.872	Stem Cells	Cells	Stem Cells	0.81	> 0.20	FEN1 (1.4)	ILF3 (1.3)	C19orf52 (1.2)	DHODH (1.2)	ZNF180 (1.2)	MAPKAPK5 (1.1)	C12orf43 (1.1)	USP1 (1.1)	ZNF259 (1.0)	BRAP (1.0)
A10.272.497	Epidermis	Tissues	Epithelium	0.83	> 0.20	NKPD1 (4.8)	CYB561D1 (4.2)	CBLC (3.9)	CEACAM19 (2.9)	TMEM57 (2.8)	CELSR2 (2.8)	TRAPPC6A (2.7)	PLEC (2.6)	NYNRIN (2.5)	QTRT1 (2.0)
A07.541.358.100	Atrial Appendage	Cardiovascular System	Heart	0.84	> 0.20	LPIN3 (3.1)	HP (3.1)	KANK2 (2.8)	DHODH (2.7)	GMPR (2.5)	NT5DC1 (2.5)	SYPL2 (2.3)	TMED4 (2.1)	ALDH2 (2.0)	GCNT4 (1.7)
A07.541.510	Heart Valves	Cardiovascular System	Heart	0.84	> 0.20	TIMD4 (3.2)	PLEKHH2 (2.2)	ADAM1 (2.0)	DYNC2LI1 (2.0)	C12orf51 (2.0)	KANK2 (1.9)	ZNF180 (1.8)	ZHX3 (1.7)	MAFB (1.7)	NT5DC1 (1.6)
A07.541.510.110	Aortic Valve	Cardiovascular System	Heart	0.84	> 0.20	TIMD4 (3.2)	PLEKHH2 (2.2)	ADAM1 (2.0)	DYNC2LI1 (2.0)	C12orf51 (2.0)	KANK2 (1.9)	ZNF180 (1.8)	ZHX3 (1.7)	MAFB (1.7)	NT5DC1 (1.6)
A05.360.319.679.690	Myometrium	Urogenital System	Genitalia	0.86	> 0.20	PLEKHH2 (4.7)	KANK2 (2.6)	POLK (1.4)	DYNC2LI1 (1.2)	MYLIP (1.2)	ZHX3 (1.0)	DHX38 (1.0)	QTRT1 (0.9)	NYNRIN (0.9)	PLCG1 (0.8)
A14.549.885	Tongue	Stomatognathic System	Mouth	0.87	> 0.20	ANKRD31 (2.0)	NPC1L1 (1.8)	MARK4 (1.8)	DHODH (1.7)	NAA25 (1.7)	PCSK9 (1.5)	PARP10 (1.3)	RHCE (1.3)	MAFB (1.2)	MAU2 (1.2)
A11.329.830	Stromal Cells	Cells	Connective Tissue Cells	0.88	> 0.20	PVR (2.5)	ZHX3 (2.2)	ENSG00000226648 (2.0)	CARM1 (2.0)	PLEC (1.6)	PPP1R37 (1.5)	DOCK7 (1.5)	C12orf43 (1.4)	BLOC1S3 (1.4)	ATXN2 (1.3)
A08.186.211.730.885.287.249.487	Corpus Striatum	Nervous System	Central Nervous System	0.88	> 0.20	C11orf9 (5.2)	PTPN11 (4.1)	GCNT4 (3.4)	ZHX3 (3.3)	ENSG00000226645 (2.8)	ENSG00000254235 (2.7)	C17orf57 (2.5)	SORT1 (2.3)	TOMM40 (2.3)	ENSG00000238078 (2.3)
A05.360.444.492	Penis	Urogenital System	Genitalia	0.89	> 0.20	GCNT4 (2.8)	NKPD1 (2.5)	BLOC1S3 (1.7)	APOB (1.4)	NYNRIN (1.3)	ZHX3 (1.2)	PTPN11 (1.2)	HMGCR (1.2)	SYPL2 (1.1)	CBLC (1.1)
A05.360.444.492.362	Foreskin	Urogenital System	Genitalia	0.89	> 0.20	GCNT4 (2.9)	NKPD1 (2.5)	BLOC1S3 (1.8)	APOB (1.5)	NYNRIN (1.4)	ZHX3 (1.3)	PTPN11 (1.3)	HMGCR (1.3)	SYPL2 (1.1)	CBLC (1.1)
A08.186.211.730.885.287.249	Basal Ganglia	Nervous System	Central Nervous System	0.92	> 0.20	C11orf9 (4.0)	GCNT4 (3.2)	ENSG00000226645 (3.2)	ZHX3 (2.8)	PTPN11 (2.7)	NCAN (2.7)	TOMM40 (2.1)	APOC1 (2.1)	ENSG00000238078 (2.0)	AMIGO1 (2.0)
